TEAM_ABB,TEAM_NAME,YEAR,WINS,LOSSES,PO_WINS,PO_LOSSES,NBA_FINALS_APPEARANCE,CONF_RANK
MIL,Bucks,2003-04,41,41,1,4,N/A,6
MIL,Bucks,2004-05,30,52,0,0,N/A,13
MIL,Bucks,2005-06,40,42,1,4,N/A,8
MIL,Bucks,2006-07,28,54,0,0,N/A,14
MIL,Bucks,2007-08,26,56,0,0,N/A,13
MIL,Bucks,2008-09,34,48,0,0,N/A,12
MIL,Bucks,2009-10,46,36,3,4,N/A,6
MIL,Bucks,2010-11,35,47,0,0,N/A,9
MIL,Bucks,2011-12,31,35,0,0,N/A,9
MIL,Bucks,2012-13,38,44,0,4,N/A,8
MIL,Bucks,2013-14,15,67,0,0,N/A,15
MIL,Bucks,2014-15,41,41,2,4,N/A,6
MIL,Bucks,2015-16,33,49,0,0,N/A,12
MIL,Bucks,2016-17,42,40,2,4,N/A,6
MIL,Bucks,2017-18,44,38,3,4,N/A,7
MIL,Bucks,2018-19,60,22,10,5,N/A,1
MIL,Bucks,2019-20,56,17,5,5,N/A,1
MIL,Bucks,2020-21,46,26,16,7,LEAGUE CHAMPION,3
MIL,Bucks,2021-22,51,31,7,5,N/A,3
MIL,Bucks,2022-23,58,24,1,4,N/A,1
MIL,Bucks,2023-24,49,33,2,4,N/A,3
MIL,Bucks,2024-25,48,34,1,4,N/A,5
MIL,Bucks,2025-26,11,16,0,0,N/A,10
MIN,Timberwolves,2000-01,47,35,1,3,N/A,8
MIN,Timberwolves,2001-02,50,32,0,3,N/A,5
MIN,Timberwolves,2002-03,51,31,2,4,N/A,4
MIN,Timberwolves,2003-04,58,24,10,8,N/A,1
MIN,Timberwolves,2004-05,44,38,0,0,N/A,9
MIN,Timberwolves,2005-06,33,49,0,0,N/A,14
MIN,Timberwolves,2006-07,32,50,0,0,N/A,13
MIN,Timberwolves,2007-08,22,60,0,0,N/A,13
MIN,Timberwolves,2008-09,24,58,0,0,N/A,11
MIN,Timberwolves,2009-10,15,67,0,0,N/A,15
MIN,Timberwolves,2010-11,17,65,0,0,N/A,15
MIN,Timberwolves,2011-12,26,40,0,0,N/A,12
MIN,Timberwolves,2012-13,31,51,0,0,N/A,12
MIN,Timberwolves,2013-14,40,42,0,0,N/A,10
MIN,Timberwolves,2014-15,16,66,0,0,N/A,15
MIN,Timberwolves,2015-16,29,53,0,0,N/A,13
MIN,Timberwolves,2016-17,31,51,0,0,N/A,13
MIN,Timberwolves,2017-18,47,35,1,4,N/A,8
MIN,Timberwolves,2018-19,36,46,0,0,N/A,11
MIN,Timberwolves,2019-20,19,45,0,0,N/A,14
MIN,Timberwolves,2020-21,23,49,0,0,N/A,13
MIN,Timberwolves,2021-22,46,36,2,4,N/A,7
MIN,Timberwolves,2022-23,42,40,1,4,N/A,8
MIN,Timberwolves,2023-24,56,26,9,7,N/A,3
MIN,Timberwolves,2024-25,49,33,9,6,N/A,6
MIN,Timberwolves,2025-26,17,9,0,0,N/A,6
BKN,Nets,2000-01,26,56,0,0,N/A,12
BKN,Nets,2001-02,52,30,11,9,FINALS APPEARANCE,1
BKN,Nets,2002-03,49,33,14,6,FINALS APPEARANCE,2
BKN,Nets,2003-04,47,35,7,4,N/A,2
BKN,Nets,2004-05,42,40,0,4,N/A,8
BKN,Nets,2005-06,49,33,5,6,N/A,4
BKN,Nets,2006-07,41,41,6,6,N/A,6
BKN,Nets,2007-08,34,48,0,0,N/A,10
BKN,Nets,2008-09,34,48,0,0,N/A,11
BKN,Nets,2009-10,12,70,0,0,N/A,15
